Pillar,Capability,Activity,ActivityDescriptions,ActivityOutcomes,CapabilityDescription,CapabilityOutcome,AssociatedActivities,AssessmentId,AssessmentName,AssessmentDescription,Standard,Control
" Visibility and Analytics","7.6 Automated Dynamic Policies","7.6.2 ai-enabled dynamic access control","DoD Organizations utilize previous rule based dynamic access to teach Artificial Intelligence (AI)/Machine Learning (ML) algorithms to make access decision to various resources. The ?AI-enabled Network Access? activity algorithms are updated to enable broader decision making to
all DAAS.","JIT/JEA are integrated with AI; Access is AI driven based on environment analytics","DoD Organization ML & AI solutions dynamically and automatically update security profiles and device configuration through continuous security posture monitoring, risk and confidence scoring, and automated patch management.","CNDSPs/SOCs dynamically and automatically update security profiles and device configuration through continuous security posture monitoring, risk and confidence scoring, and automated patch
management","* AI-enabled Network Access
* AI-enabled Dynamic Access Control","3948394e-63de-11ea-bc55-0242ac130003","[Preview]: Configure an approval endpoint called prior to jobs running for specified Azure Machine Learning computes","Configure an approval endpoint called prior to jobs running for specified Azure Machine Learning computes and can be assigned at the workspace. For more information. For more information, visit https://aka.ms/amlpolicydoc.","NIST SP 800-53 Rev. 5","SI-4"
" Data","4.1 Data Catalog Risk Alignment","4.1.1 data analysis","DoD Organizations update the service and application catalog(s) with
data classifications. Data tags are also added to each service and application.","The service catalog is updated with data types for each application and service based on data classification levels","Data owners ensure that data is identified and inventoried and any changes to the data landscape are automatically detected and included within the catalog. The data landscape must then  be reviewed to identify potential risks related to data loss, attack, or any other unauthorized alteration and/or access","Data owners ensure that data is identified and inventoried and any changes to the data landscape are automatically detected and included within the catalog. The data landscape must then be reviewed to identify potential risks related to data loss, attack, or any other unauthorized alteration and/or access","* Data Analysis","871b6d14-10aa-478d-b590-94f262ecfa99","Require a tag on resources","Enforces existence of a tag. Does not apply to resource groups.","Azure Recommended","Azure Recommended"
" Device","2.3 Device Authorization w/ Real
Time Inspection","2.3.1 entity activity monitoring pt1","Using the developed User and Device baselines, DoD Organizations utilize the implemented User and Entity Behavioral Activity (UEBA) solution to integrate baselines. UEBA device attributes and baselines are available to be used for device authorization detections.","UEBA attributes are integrated for device baselining; UEBA attributes are available for usage with device access","DoD Organizations conduct foundational and extended device tooling (NextGen AV, AppControl, File Integrity Monitoring (FIM), etc.) integration to better understand the risk posture.
Organizational PKI systems are integrated to expand the existing Enterprise PKI to devices as well. Lastly Entity Activity Monitoring is also integrated to identify anomalous activities.","DoD organizations establish processes (e.g., Enterprise PKI) and utilize tools to identify any device (including unmanaged devices, infrastructure devices, and endpoint devices) attempting to access the network, and make a determination if the device should be authorized to access the network.
Maturation of this capability monitoring and detection of this activity on endpoints and IT infrastructure in real time","* Entity Activity Monitoring Pt1
* Entity Activity Monitoring Pt2
* Implement Application Control & File Integrity Monitoring (FIM) Tools
* Integrate NextGen AV Tools with C2C
* Fully Integrate Device Security stack with C2C as appropriate
* Enterprise PKI Pt1
* Enterprise PKI Pt2","ba0ba89c-1137-407f-ae7a-19152ea7ae82","Enable logging by category group for Load balancers (microsoft.network/loadbalancers) to Event Hub","Resource logs should be enabled to track activities and events that take place on your resources and give you visibility and insights into any changes that occur. This policy deploys a diagnostic setting using a category group to route logs to an Event Hub for Load balancers (microsoft.network/loadbalancers).","NIST SP 800-53 Rev. 5","AC-16"
" User","1.1 User Inventory","1.1.1 inventory user","DoD Organizations establish and update a user inventory manually if needed, preparing for automated approach in later stages. Accounts both centrally managed by an IdP/ICAM and locally on systems will be identified and inventoried. Privileged accounts will be identified for future audit and both standard and privileged user accounts local to applications and systems will be identified for future migration and/or
decommission.","Identified Managed Regular Users; Identified Managed Privileged Users; Identified applications using their own user account management for non-administrative and administrative accounts","Regular and Privileged users are identified and integrated into an inventory supporting regular modifications. Applications, software and services that have local users are all part of the
inventory and highlighted.","System owners have control (visibility and administrative rights) of all authorized and authenticated users on the network","* Inventory User","146412e9-005c-472b-9e48-c87b72ac229e","A Microsoft Entra administrator should be provisioned for MySQL servers","Audit provisioning of a Microsoft Entra administrator for your MySQL server to enable Microsoft Entra authentication. Microsoft Entra authentication enables simplified permission management and centralized identity management of database users and other Microsoft services","NIST SP 800-53 Rev. 5","IA-2"
" User","1.1 User Inventory","1.1.1 inventory user","DoD Organizations establish and update a user inventory manually if needed, preparing for automated approach in later stages. Accounts both centrally managed by an IdP/ICAM and locally on systems will be identified and inventoried. Privileged accounts will be identified for future audit and both standard and privileged user accounts local to applications and systems will be identified for future migration and/or
decommission.","Identified Managed Regular Users; Identified Managed Privileged Users; Identified applications using their own user account management for non-administrative and administrative accounts","Regular and Privileged users are identified and integrated into an inventory supporting regular modifications. Applications, software and services that have local users are all part of the
inventory and highlighted.","System owners have control (visibility and administrative rights) of all authorized and authenticated users on the network","* Inventory User","146412e9-005c-472b-9e48-c87b72ac229e","A Microsoft Entra administrator should be provisioned for MySQL servers","Audit provisioning of a Microsoft Entra administrator for your MySQL server to enable Microsoft Entra authentication. Microsoft Entra authentication enables simplified permission management and centralized identity management of database users and other Microsoft services","NIST SP 800-53 Rev. 5","AC-2"
" User","1.1 User Inventory","1.1.1 inventory user","DoD Organizations establish and update a user inventory manually if needed, preparing for automated approach in later stages. Accounts both centrally managed by an IdP/ICAM and locally on systems will be identified and inventoried. Privileged accounts will be identified for future audit and both standard and privileged user accounts local to applications and systems will be identified for future migration and/or
decommission.","Identified Managed Regular Users; Identified Managed Privileged Users; Identified applications using their own user account management for non-administrative and administrative accounts","Regular and Privileged users are identified and integrated into an inventory supporting regular modifications. Applications, software and services that have local users are all part of the
inventory and highlighted.","System owners have control (visibility and administrative rights) of all authorized and authenticated users on the network","* Inventory User","146412e9-005c-472b-9e48-c87b72ac229e","A Microsoft Entra administrator should be provisioned for MySQL servers","Audit provisioning of a Microsoft Entra administrator for your MySQL server to enable Microsoft Entra authentication. Microsoft Entra authentication enables simplified permission management and centralized identity management of database users and other Microsoft services","NIST SP 800-53 Rev. 5","AC-14"
" Applications and Workloads","3.2 Secure Software Development &
Integration","3.2.4 automate application security & code remediation pt2","DoD Organizations modernize approaches to delivering internally developed and managed services following best practice approaches such as Microservices. These approaches will enable more resilient and secure architectures by allowing for quicker changes to code in each microservice as security issues are discovered. Further advancement security remediation activities continue across the DoD Enterprise with the inclusion of runtime security functions for containers as appropriate, automated vulnerable library updates and automated CI/CD approvals during the release process.","Secure API Gateway is operational and majority of API calls are passing through gateway; Services are provided following a Service Oriented Architecture (SOA); Security Remediation activities (e.g., runtime security, library updates, release approvals) are fully automated","Foundational software and application security processes and infrastructure are established following Zero Trust principles and best practices. Controls such as code review, runtime protection, secure API gateways, container and serverless security are integrated and automated.","Organization-defined security controls and practices are integrated, to include Zero Trust security controls and virtualization, into the software development lifecycle and DevOps toolchain. Custom software development teams use DevSecOps to integrate static and dynamic application security testing into software delivery workflows in accordance with the organization's requirements (policies, technologies, and processes).","* Build DevSecOps Software Factory Pt1
* Build DevSecOps Software Factory Pt2
* Automate Application Security & Code Remediation Pt1
* Automate Application Security & Code Remediation Pt2","f1cc7827-022c-473e-836e-5a51cae0b249","API Management secret named values should be stored in Azure Key Vault","Named values are a collection of name and value pairs in each API Management service. Secret values can be stored either as encrypted text in API Management (custom secrets) or by referencing secrets in Azure Key Vault. To improve security of API Management and secrets, reference secret named values from Azure Key Vault. Azure Key Vault supports granular access management and secret rotation policies.","NIST SP 800-53 Rev. 5","CM-3"
" Applications and Workloads","3.2 Secure Software Development &
Integration","3.2.4 automate application security & code remediation pt2","DoD Organizations modernize approaches to delivering internally developed and managed services following best practice approaches such as Microservices. These approaches will enable more resilient and secure architectures by allowing for quicker changes to code in each microservice as security issues are discovered. Further advancement security remediation activities continue across the DoD Enterprise with the inclusion of runtime security functions for containers as appropriate, automated vulnerable library updates and automated CI/CD approvals during the release process.","Secure API Gateway is operational and majority of API calls are passing through gateway; Services are provided following a Service Oriented Architecture (SOA); Security Remediation activities (e.g., runtime security, library updates, release approvals) are fully automated","Foundational software and application security processes and infrastructure are established following Zero Trust principles and best practices. Controls such as code review, runtime protection, secure API gateways, container and serverless security are integrated and automated.","Organization-defined security controls and practices are integrated, to include Zero Trust security controls and virtualization, into the software development lifecycle and DevOps toolchain. Custom software development teams use DevSecOps to integrate static and dynamic application security testing into software delivery workflows in accordance with the organization's requirements (policies, technologies, and processes).","* Build DevSecOps Software Factory Pt1
* Build DevSecOps Software Factory Pt2
* Automate Application Security & Code Remediation Pt1
* Automate Application Security & Code Remediation Pt2","f1cc7827-022c-473e-836e-5a51cae0b249","API Management secret named values should be stored in Azure Key Vault","Named values are a collection of name and value pairs in each API Management service. Secret values can be stored either as encrypted text in API Management (custom secrets) or by referencing secrets in Azure Key Vault. To improve security of API Management and secrets, reference secret named values from Azure Key Vault. Azure Key Vault supports granular access management and secret rotation policies.","NIST SP 800-53 Rev. 5","SC-7"
" Applications and Workloads","3.2 Secure Software Development &
Integration","3.2.3 automate application security & code remediation pt1","A standardized approach to application security including code remediation is implemented across the DoD enterprise.  Part one (1) of this activity includes the integration of a Secure API gateway with applications utilizing API or similar calls. Code reviews are conducted in a methodical approach and standardized protections for containers and their infrastructure are in place. Additionally, any serverless functions where the 3rd party manages the infrastructure such as Platform as a Service utilize adequate serverless security monitoring and response functions. Code Reviews, Container and Serverless security functions are integrated into the CI/CD and/or DevSecOps process appropriate.","Secure API Gateway is operational and majority of API calls are passing through gateway; Application Security functions (e.g., code review, container and serverless security) are implemented as part of CI/CD and DevSecOps","Foundational software and application security processes and infrastructure are established following Zero Trust principles and best practices. Controls such as code review, runtime protection, secure API gateways, container and serverless security are integrated and automated.","Organization-defined security controls and practices are integrated, to include Zero Trust security controls and virtualization, into the software development lifecycle and DevOps toolchain. Custom software development teams use DevSecOps to integrate static and dynamic application security testing into software delivery workflows in accordance with the organization's requirements (policies, technologies, and processes).","* Build DevSecOps Software Factory Pt1
* Build DevSecOps Software Factory Pt2
* Automate Application Security & Code Remediation Pt1
* Automate Application Security & Code Remediation Pt2","f1cc7827-022c-473e-836e-5a51cae0b249","API Management secret named values should be stored in Azure Key Vault","Named values are a collection of name and value pairs in each API Management service. Secret values can be stored either as encrypted text in API Management (custom secrets) or by referencing secrets in Azure Key Vault. To improve security of API Management and secrets, reference secret named values from Azure Key Vault. Azure Key Vault supports granular access management and secret rotation policies.","NIST SP 800-53 Rev. 5","AC-3"
" Automation and Orchestration","6.6 API Standardization","6.6.3 standardized api calls & schemas pt2","DoD Organizations complete the migration to the new programmatic interface standard. Tools marked for decommission in the previous activity are retired and functions are migrated to modernized tools.
Approved schemas are adopted based on the DoD Enterprise
standard/requirements.","All calls and schemas are implemented","DoD establishes and enforces enterprise-wide programmatic interface (e.g., API ) standards; all non-compliant APIs are identified and replaced.","DoD establishes and enforces enterprise-wide API standards; all non-compliant APIs are identified and replaced","* Tool Compliance Analysis
* Standardized API Calls & Schemas Pt1
* Standardized API Calls & Schemas Pt2","f1cc7827-022c-473e-836e-5a51cae0b249","API Management secret named values should be stored in Azure Key Vault","Named values are a collection of name and value pairs in each API Management service. Secret values can be stored either as encrypted text in API Management (custom secrets) or by referencing secrets in Azure Key Vault. To improve security of API Management and secrets, reference secret named values from Azure Key Vault. Azure Key Vault supports granular access management and secret rotation policies.","Azure Recommended","Azure Recommended"
" Data","4.2 DoD Enterprise Data Governance","4.2.3 develop software defined storage (sds) policy","The DoD enterprise working with organizations establishes a software define storage (SDS) policy and standards based on industry best practices. DoD organizations evaluate current data storage strategy and technology for implementation of SDS. Where appropriate storage technology is identified for SDS implementation.","Determine need for SDS tool implementation; Policy for SDS is created at the enterprise and org levels","DoD establishes enterprise data labeling/tagging and DAAS access control/sharing policies (e.g., SDS policy) that are enforceable. Developed enterprise standards ensure an appropriate level of interoperability between DoD Organizations.","DoD establishes enterprise data labeling/tagging and DAAS access control/sharing policies (e.g., SDS policy) that are enforceable at the field level","* Define Data Tagging Standards
* Interoperability Standards
* Develop Software Defined Storage (SDS) Policy","ad4f3ff1-30eb-5042-16ed-27198f640b8d","Storage accounts should restrict network access using virtual network rules","This method is preferred over IP-based filtering, which can leave your storage accounts vulnerable to threats if public IPs gain access.<br> If IP-based filtering is not disabled, your storage accounts could be exposed to potential threats, compromising the security of your data.<br>","Azure Recommended","Azure Recommended"
" Device","2.2 Device Detection and Compliance","2.2.1 implement c2c/compliance based network authorization pt1","The DoD Enterprise working with the Organizations develops a policy, standard and requirements for Comply to Connect. Once agreement is reached solution procurement is started, a vendor(s) is selected, and implementation begins with base level functionality in ZT Target environments (low risk). Base level checks are implemented in the  new Comply to Connection solution enabling the ability to meet ZTA target functionalities.","C2C is enforced at the enterprise level for low risk and testing environments; Basic devices checks are implemented using C2C","DoD organizations employ asset management systems for user devices to maintain and report on IT and Cybersecurity compliance. Managed devices (enterprise and mobile) attempting to connect to a DoD network or access a DAAS resource is detected and has its compliance status confirmed (via C2C)","DoD organizations employ asset management systems for user devices to maintain and report on IT compliance. Any device (including mobile, IOT, managed, and unmanaged) attempting to connect to a DoD network or access a DAAS resource is detected and has its compliance status confirmed (via C2C)","* Implement C2C/Compliance Based Network Authorization Pt1
* Implement C2C/Compliance Based Network Authorization Pt2","861bbc73-0a55-8d1d-efc6-e92d9e1176e0","vTPM should be enabled on supported virtual machines","Enable virtual TPM device on supported virtual machines to facilitate Measured Boot and other OS security features that require a TPM. Once enabled, vTPM can be used to attest boot integrity. This assessment only applies to trusted launch enabled virtual machines.","NIST SP 800-53 Rev. 5","AC-16"
" Device","2.2 Device Detection and Compliance","2.2.1 implement c2c/compliance based network authorization pt1","The DoD Enterprise working with the Organizations develops a policy, standard and requirements for Comply to Connect. Once agreement is reached solution procurement is started, a vendor(s) is selected, and implementation begins with base level functionality in ZT Target environments (low risk). Base level checks are implemented in the  new Comply to Connection solution enabling the ability to meet ZTA target functionalities.","C2C is enforced at the enterprise level for low risk and testing environments; Basic devices checks are implemented using C2C","DoD organizations employ asset management systems for user devices to maintain and report on IT and Cybersecurity compliance. Managed devices (enterprise and mobile) attempting to connect to a DoD network or access a DAAS resource is detected and has its compliance status confirmed (via C2C)","DoD organizations employ asset management systems for user devices to maintain and report on IT compliance. Any device (including mobile, IOT, managed, and unmanaged) attempting to connect to a DoD network or access a DAAS resource is detected and has its compliance status confirmed (via C2C)","* Implement C2C/Compliance Based Network Authorization Pt1
* Implement C2C/Compliance Based Network Authorization Pt2","861bbc73-0a55-8d1d-efc6-e92d9e1176e0","vTPM should be enabled on supported virtual machines","Enable virtual TPM device on supported virtual machines to facilitate Measured Boot and other OS security features that require a TPM. Once enabled, vTPM can be used to attest boot integrity. This assessment only applies to trusted launch enabled virtual machines.","NIST SP 800-53 Rev. 5","AC-3"
" Device","2.3 Device Authorization w/ Real
Time Inspection","2.3.1 entity activity monitoring pt1","Using the developed User and Device baselines, DoD Organizations utilize the implemented User and Entity Behavioral Activity (UEBA) solution to integrate baselines. UEBA device attributes and baselines are available to be used for device authorization detections.","UEBA attributes are integrated for device baselining; UEBA attributes are available for usage with device access","DoD Organizations conduct foundational and extended device tooling (NextGen AV, AppControl, File Integrity Monitoring (FIM), etc.) integration to better understand the risk posture.
Organizational PKI systems are integrated to expand the existing Enterprise PKI to devices as well. Lastly Entity Activity Monitoring is also integrated to identify anomalous activities.","DoD organizations establish processes (e.g., Enterprise PKI) and utilize tools to identify any device (including unmanaged devices, infrastructure devices, and endpoint devices) attempting to access the network, and make a determination if the device should be authorized to access the network.
Maturation of this capability monitoring and detection of this activity on endpoints and IT infrastructure in real time","* Entity Activity Monitoring Pt1
* Entity Activity Monitoring Pt2
* Implement Application Control & File Integrity Monitoring (FIM) Tools
* Integrate NextGen AV Tools with C2C
* Fully Integrate Device Security stack with C2C as appropriate
* Enterprise PKI Pt1
* Enterprise PKI Pt2","3c1b3629-c8f8-4bf6-862c-037cb9094038","Deploy - Configure Log Analytics extension to be enabled on Windows virtual machine scale sets","Deploy Log Analytics extension for Windows virtual machine scale sets if the virtual machine image is in the list defined and the extension is not installed. If your scale set upgradePolicy is set to Manual, you need to apply the extension to all the virtual machine in the set by updating them. Deprecation notice: The Log Analytics agent is on a deprecation path and won't be supported after August 31, 2024. You must migrate to the replacement 'Azure Monitor agent' prior to that date.","NIST SP 800-53 Rev. 5","AC-16"
" Data","4.4 Data Monitoring and Sensing","4.4.4 file activity monitoring pt2","DoD Organizations utilize File Monitoring tools to monitor all regulatory protected data (e.g., CUI, PII, PHI, etc.) in applications, services, and repositories. Extended integration is used to send data to appropriate inter/intra-pillar solutions such as Data Loss Prevention, Data Rights Management/Protection and User & Entity Behavior
Analytics.","Data and files of all regulated classifications are actively being monitored; Extended integrations are in place as appropriate to further manage risk","Data owners will capture active metadata that includes information about the access, sharing, transformation, and use of their data assets. Data Loss Prevention (DLP) and Data Rights Management (DRM) enforcement point analysis is conducted to determine where tooling will be deployed. Data outside of DLP and DRM scope such as File Shares and Databases is actively monitored for anomalous and malicious activity using alternative
tooling.","Data owners will capture active metadata that includes information about the access, sharing, transformation, and use of their data assets","* DLP Enforcement Point Logging and Analysis
* DRM Enforcement Point Logging and Analysis
* File Activity Monitoring Pt1
* File Activity Monitoring Pt2
* Database Activity Monitoring
* Comprehensive Data Activity Monitoring","10caed8a-652c-4d1d-84e4-2805b7c07278","[Preview]: Configure ChangeTracking Extension for Linux Arc machines","Configure Linux Arc machines to automatically install the ChangeTracking Extension to enable File Integrity Monitoring(FIM) in Azure Security Center. FIM examines operating system files, Windows registries, application software, Linux system files, and more, for changes that might indicate an attack. The extension can be installed in virtual machines and locations supported by Azure Monitor Agent.","Azure Recommended","Azure Recommended"
" Network and Environment","5.4 Micro Segmentation","5.4.4 protect data in transit","Based on the data flow mappings and monitoring, policies are enabled by DoD Organizations to mandate protection of data in transit.
Common use cases such as Coalition Information Sharing, Sharing Across System Boundaries and Protection across Architectural Components are included in protection policies.","Protect Data In Transit During Coalition Information Sharing; Protect Data in Transit Across System High Boundaries; Integrate Data In Transit Protection Across Architecture Components","DoD organizations define and document network segmentation based on identity and / or application access in their virtualized and/or cloud environments. Automation is used to apply policy changes through programmatic (e.g., API) approaches. Lastly where possible organizations will utilize host-level process micro segmentation.","DoD organizations define and document network segmentation based on identity and / or application access in their virtualized cloud environments","* Implement Micro segmentation
* Application & Device Micro segmentation
* Process Micro segmentation
* Protect Data In Transit","d416745a-506c-48b6-8ab1-83cb814bcaa3","Virtual machines should be connected to an approved virtual network","This policy audits any virtual machine connected to a virtual network that is not approved.","NIST SP 800-53 Rev. 5","SC-13"
" Automation and Orchestration","6.2 Critical Process Automation","6.2.1 task automation analysis","DoD Organizations identify and enumerate all task activities that can be executed both manually and in an automated fashion. Task activities are organized into automated and manual categories.
Manual activities are analyzed for possible retirement.","Automatable tasks are identified; Tasks are enumerated","DoD organizations employ automation methods, such as RPA, to address repetitive, predictable tasks for critical functions such as data enrichment, security controls, and incident response workflows according to system security engineering principles.","DoD organizations employ automation methods, such as RPA, to address repetitive, predictable tasks for critical functions such as data enrichment, security controls, and incident response workflows according to system security engineering principles","* Task Automation Analysis
* Enterprise Integration & Workflow Provisioning Pt1
* Enterprise Integration & Workflow Provisioning Pt2","d416745a-506c-48b6-8ab1-83cb814bcaa3","Virtual machines should be connected to an approved virtual network","This policy audits any virtual machine connected to a virtual network that is not approved.","Azure Recommended","Azure Recommended"
" Network and Environment","5.2 Software Defined Networking (SDN)","5.2.1 define sdn apis","The DoD Enterprise works with the Organizations to define the necessary APIs and other programmatic interfaces to enable Software Defined Networking (SDN) functionalities. These APIs will enable Authentication Decision Point, Application Delivery Control Proxy and
Segmentation Gateways automation.","SDN APIs are standardized and implemented; APIs are functional for AuthN Decision Point, App Delivery Control Proxy and Segmentation Gateways","DoD organizations define API decision points and implement SDN programmable infrastructure to separate the control and data planes and centrally manage and control the elements in the data plane. Integrations are conducted with decision points and segmentation gateway to accomplish the plane separation.
Analytics are then integrated to real time decision making for access to resources.","DoD organizations define API decision points and implement SDN programmable infrastructure to separate the control and data planes and centrally manage and control the elements in the data plane","* Define SDN APIs* Implement SDN Programable Infrastructure
* Segment Flows into Control, Management, and Data Planes
* Network Asset Discovery & Optimization
* Real-Time Access Decisions","d416745a-506c-48b6-8ab1-83cb814bcaa3","Virtual machines should be connected to an approved virtual network","This policy audits any virtual machine connected to a virtual network that is not approved.","Azure Recommended","Azure Recommended"
" Device","2.1 Device Inventory","2.1.3 enterprise idp pt1","The DoD Enterprise Identity Provider (IdP) either using a centralized technology or federated organizational technologies integrates Non- Person Entities (NPEs) such as devices and service accounts.
Integration is tracked in the Enterprise Device Management solution when applicable as to whether it is integrated or not. NPEs not able to be integrated with the IdP are either marked for retirement or excepted using a risk based methodical approach.","NPEs including devices are integrated with Enterprise IDP","DoD organizations establish and maintain an approved inventory list of all devices authorized to access the network and enroll all devices on the network prior to network connection. Device attributes will include technical details such as the PKI (802.1x) machine certificate, device object, patch/vulnerability status and others to enable successor activities.","DoD organizations establish and maintain a trusted inventory list of all devices authorized to access the network and enroll all devices on the network prior to network connection","* Device Health Tool Gap Analysis
* NPE/PKI, Device under Management
* Enterprise IDP Pt1
* Enterprise IDP Pt2","a1aa2b1e-3d24-82a7-7c2b-14e9bbd23c4e","Add system-assigned managed identity to enable Guest Configuration assignments on virtual machines with no identities","This policy adds a system-assigned managed identity to virtual machines hosted in Azure that are supported by Guest Configuration but do not have any managed identities. A system-assigned managed identity is a prerequisite for all Guest Configuration assignments and must be added to machines before using any Guest Configuration policy definitions. For more information on Guest Configuration, visit https://aka.ms/gcpol.","NIST SP 800-53 Rev. 5","AC-2"
" Applications and Workloads","3.4 Resource Authorization &
Integration","3.4.1 resource authorization pt1","The DoD Enterprise standardizes on resource authorization approaches (e.g., Software Defined Perimeter) with the organizations. At a minimum the resource authorization gateways will be integrated with identities and devices. Organizations deploy approved resource authorization gateways and enable for external facing applications/services. Additional applications for migration and applications unable to be migrated are identified for exception or
decommission.","Resource Authorization Gateway is in place for external facing applications; Resource Authorization policy integrated with identity and device; Enterprise-wide Guidance on conversion standards are communicated to stakeholders","DoD establishes a standardized resource authorization gateway for authorizations via the CI/CD pipelines in a risk approach that reviews the User, Device and Data security posture.
Authorizations utilize a programmatic (e.g., Software Defined) approach in a live/production environment. Attributes are enriched utilizing other pillar activities and the API and Authorization gateway. Approved enterprise APIs are micro- segmented using authorizations.","DoD establishes a standard approach managing the authorizations of resources in a   risk approach that reviews the User, Device and Data security posture.","* Resource Authorization Pt1
* Resource Authorization Pt2
* SDC Resource Authorization Pt1
* SDC Resource Authorization Pt2
* Enrich Attributes for Resource Authorization Pt1
* Enrich Attributes for Resource Authorization Pt2
* REST API Micro-Segments","921ae4c1-507f-5ddb-8a58-cfa9b5fd96f0","Establish authenticator types and processes","CMA_0267 - Establish authenticator types and processes","NIST SP 800-53 Rev. 5","AC-16"
" User","1.9 Integrated ICAM Platform","1.9.1 enterprise pki/idp pt1","The DoD Enterprise works with Organizations to implement Enterprise Public Key Infrastructure (PKI) and Identity Provider (IdP) solutions in a centralized and/or federated fashion. The Enterprise PKI solution utilizes a single or set of Enterprise level Root Certificate Authorities (CA) which can then be trusted by Organizations to build Intermediate CA?s off. The Identity Provider solution may either be a single solution or federated set of Organizational IdPs with standard level of access across Organizations and standardized set of attributes. Organizations? IdPs and PKI Certificated Authorities are integrated with the Enterprise IdP and PKI solutions.","Components are using IdP with MFA for all applications/services; Organizational MFA/PKI integrated with Enterprise MFA/PKI; Organizational Standardized PKI for all services","DoD organizations and overall enterprise employ enterprise-level identity management and public key infrastructure (PKI) systems to track user, administrator and NPE identities across the network and ensure access is limited to only those who have the need and the right to know. Organizations can verify they need and have the right to access via credential management systems, identity governance and administration tools, and an access management tool. PKI systems can be federated but must either trust a central root certificate authority (CA) and/or cross-sign standardized organizational CA?s.","DoD organizations employ enterprise-level identity management systems to track user and NPE identities across the network and ensure access is limited to only those who have the need and the right to know; organizations can verify they need and have the right to access via credential management systems, identity governance and administration tools, and an access management tool","* Enterprise PKI/IDP Pt1
* Enterprise PKI/IDP Pt2
* Enterprise PKI/IDP Pt3","921ae4c1-507f-5ddb-8a58-cfa9b5fd96f0","Establish authenticator types and processes","CMA_0267 - Establish authenticator types and processes","NIST SP 800-53 Rev. 5","AC-16"
" Applications and Workloads","3.4 Resource Authorization &
Integration","3.4.1 resource authorization pt1","The DoD Enterprise standardizes on resource authorization approaches (e.g., Software Defined Perimeter) with the organizations. At a minimum the resource authorization gateways will be integrated with identities and devices. Organizations deploy approved resource authorization gateways and enable for external facing applications/services. Additional applications for migration and applications unable to be migrated are identified for exception or
decommission.","Resource Authorization Gateway is in place for external facing applications; Resource Authorization policy integrated with identity and device; Enterprise-wide Guidance on conversion standards are communicated to stakeholders","DoD establishes a standardized resource authorization gateway for authorizations via the CI/CD pipelines in a risk approach that reviews the User, Device and Data security posture.
Authorizations utilize a programmatic (e.g., Software Defined) approach in a live/production environment. Attributes are enriched utilizing other pillar activities and the API and Authorization gateway. Approved enterprise APIs are micro- segmented using authorizations.","DoD establishes a standard approach managing the authorizations of resources in a   risk approach that reviews the User, Device and Data security posture.","* Resource Authorization Pt1
* Resource Authorization Pt2
* SDC Resource Authorization Pt1
* SDC Resource Authorization Pt2
* Enrich Attributes for Resource Authorization Pt1
* Enrich Attributes for Resource Authorization Pt2
* REST API Micro-Segments","921ae4c1-507f-5ddb-8a58-cfa9b5fd96f0","Establish authenticator types and processes","CMA_0267 - Establish authenticator types and processes","NIST SP 800-53 Rev. 5","AC-2"
" User","1.9 Integrated ICAM Platform","1.9.1 enterprise pki/idp pt1","The DoD Enterprise works with Organizations to implement Enterprise Public Key Infrastructure (PKI) and Identity Provider (IdP) solutions in a centralized and/or federated fashion. The Enterprise PKI solution utilizes a single or set of Enterprise level Root Certificate Authorities (CA) which can then be trusted by Organizations to build Intermediate CA?s off. The Identity Provider solution may either be a single solution or federated set of Organizational IdPs with standard level of access across Organizations and standardized set of attributes. Organizations? IdPs and PKI Certificated Authorities are integrated with the Enterprise IdP and PKI solutions.","Components are using IdP with MFA for all applications/services; Organizational MFA/PKI integrated with Enterprise MFA/PKI; Organizational Standardized PKI for all services","DoD organizations and overall enterprise employ enterprise-level identity management and public key infrastructure (PKI) systems to track user, administrator and NPE identities across the network and ensure access is limited to only those who have the need and the right to know. Organizations can verify they need and have the right to access via credential management systems, identity governance and administration tools, and an access management tool. PKI systems can be federated but must either trust a central root certificate authority (CA) and/or cross-sign standardized organizational CA?s.","DoD organizations employ enterprise-level identity management systems to track user and NPE identities across the network and ensure access is limited to only those who have the need and the right to know; organizations can verify they need and have the right to access via credential management systems, identity governance and administration tools, and an access management tool","* Enterprise PKI/IDP Pt1
* Enterprise PKI/IDP Pt2
* Enterprise PKI/IDP Pt3","921ae4c1-507f-5ddb-8a58-cfa9b5fd96f0","Establish authenticator types and processes","CMA_0267 - Establish authenticator types and processes","NIST SP 800-53 Rev. 5","AC-2"
