ActivityNumber,ActivityName,TargetLevel,Coverage,NISTControl,NISTControlName,TTP,TTPName
2.3.2,Entity Activity Monitoring Pt2,Advanced ZT,mitigates,SI-4,Information System Monitoring,T1137.001,Office Template Macros
2.3.2,Entity Activity Monitoring Pt2,Advanced ZT,mitigates,SI-4,Information System Monitoring,T1176,Browser Extensions
2.3.2,Entity Activity Monitoring Pt2,Advanced ZT,mitigates,SI-4,Information System Monitoring,T1185,Browser Session Hijacking
2.3.2,Entity Activity Monitoring Pt2,Advanced ZT,mitigates,SI-4,Information System Monitoring,T1187,Forced Authentication
2.3.2,Entity Activity Monitoring Pt2,Advanced ZT,mitigates,SI-4,Information System Monitoring,T1189,Drive-by Compromise
2.3.2,Entity Activity Monitoring Pt2,Advanced ZT,mitigates,SI-4,Information System Monitoring,T1190,Exploit Public-Facing Application
2.3.2,Entity Activity Monitoring Pt2,Advanced ZT,mitigates,SI-4,Information System Monitoring,T1197,BITS Jobs
2.3.2,Entity Activity Monitoring Pt2,Advanced ZT,mitigates,SI-4,Information System Monitoring,T1201,Password Policy Discovery
2.3.2,Entity Activity Monitoring Pt2,Advanced ZT,mitigates,SI-4,Information System Monitoring,T1203,Exploitation for Client Execution
2.3.2,Entity Activity Monitoring Pt2,Advanced ZT,mitigates,SI-4,Information System Monitoring,T1204,User Execution
2.3.2,Entity Activity Monitoring Pt2,Advanced ZT,mitigates,SI-4,Information System Monitoring,T1204.001,Malicious Link
2.3.2,Entity Activity Monitoring Pt2,Advanced ZT,mitigates,SI-4,Information System Monitoring,T1204.002,Malicious File
2.3.2,Entity Activity Monitoring Pt2,Advanced ZT,mitigates,SI-4,Information System Monitoring,T1204.003,Malicious Image
2.3.2,Entity Activity Monitoring Pt2,Advanced ZT,mitigates,SI-4,Information System Monitoring,T1205,Traffic Signaling
2.3.2,Entity Activity Monitoring Pt2,Advanced ZT,mitigates,SI-4,Information System Monitoring,T1205.001,Port Knocking
2.3.2,Entity Activity Monitoring Pt2,Advanced ZT,mitigates,SI-4,Information System Monitoring,T1205.002,Socket Filters
2.3.2,Entity Activity Monitoring Pt2,Advanced ZT,mitigates,SI-4,Information System Monitoring,T1210,Exploitation of Remote Services
2.3.2,Entity Activity Monitoring Pt2,Advanced ZT,mitigates,SI-4,Information System Monitoring,T1211,Exploitation for Defense Evasion
2.3.2,Entity Activity Monitoring Pt2,Advanced ZT,mitigates,SI-4,Information System Monitoring,T1212,Exploitation for Credential Access
2.3.2,Entity Activity Monitoring Pt2,Advanced ZT,mitigates,SI-4,Information System Monitoring,T1213,Data from Information Repositories
2.3.2,Entity Activity Monitoring Pt2,Advanced ZT,mitigates,SI-4,Information System Monitoring,T1213.001,Confluence
2.3.2,Entity Activity Monitoring Pt2,Advanced ZT,mitigates,SI-4,Information System Monitoring,T1213.002,Sharepoint
2.3.2,Entity Activity Monitoring Pt2,Advanced ZT,mitigates,SI-4,Information System Monitoring,T1216,Signed Script Proxy Execution
2.3.2,Entity Activity Monitoring Pt2,Advanced ZT,mitigates,SI-4,Information System Monitoring,T1216.001,PubPrn
2.3.2,Entity Activity Monitoring Pt2,Advanced ZT,mitigates,SI-4,Information System Monitoring,T1218,Signed Binary Proxy Execution
2.3.2,Entity Activity Monitoring Pt2,Advanced ZT,mitigates,SI-4,Information System Monitoring,T1218.001,Compiled HTML File
2.3.2,Entity Activity Monitoring Pt2,Advanced ZT,mitigates,SI-4,Information System Monitoring,T1218.002,Control Panel
2.3.2,Entity Activity Monitoring Pt2,Advanced ZT,mitigates,SI-4,Information System Monitoring,T1218.003,CMSTP
2.3.2,Entity Activity Monitoring Pt2,Advanced ZT,mitigates,SI-4,Information System Monitoring,T1218.004,InstallUtil
2.3.2,Entity Activity Monitoring Pt2,Advanced ZT,mitigates,SI-4,Information System Monitoring,T1218.005,Mshta
2.3.2,Entity Activity Monitoring Pt2,Advanced ZT,mitigates,SI-4,Information System Monitoring,T1218.008,Odbcconf
2.3.2,Entity Activity Monitoring Pt2,Advanced ZT,mitigates,SI-4,Information System Monitoring,T1218.009,Regsvcs/Regasm
2.3.2,Entity Activity Monitoring Pt2,Advanced ZT,mitigates,SI-4,Information System Monitoring,T1218.010,Regsvr32
2.3.2,Entity Activity Monitoring Pt2,Advanced ZT,mitigates,SI-4,Information System Monitoring,T1218.011,Rundll32
2.3.2,Entity Activity Monitoring Pt2,Advanced ZT,mitigates,SI-4,Information System Monitoring,T1218.012,Verclsid
2.3.2,Entity Activity Monitoring Pt2,Advanced ZT,mitigates,SI-4,Information System Monitoring,T1218.013,Mavinject
2.3.2,Entity Activity Monitoring Pt2,Advanced ZT,mitigates,SI-4,Information System Monitoring,T1218.014,MMC
2.3.2,Entity Activity Monitoring Pt2,Advanced ZT,mitigates,SI-4,Information System Monitoring,T1219,Remote Access Software
2.3.2,Entity Activity Monitoring Pt2,Advanced ZT,mitigates,SI-4,Information System Monitoring,T1220,XSL Script Processing
2.3.2,Entity Activity Monitoring Pt2,Advanced ZT,mitigates,SI-4,Information System Monitoring,T1221,Template Injection
2.3.2,Entity Activity Monitoring Pt2,Advanced ZT,mitigates,SI-4,Information System Monitoring,T1222,File and Directory Permissions Modification
2.3.2,Entity Activity Monitoring Pt2,Advanced ZT,mitigates,SI-4,Information System Monitoring,T1222.001,Windows File and Directory Permissions Modification
2.3.2,Entity Activity Monitoring Pt2,Advanced ZT,mitigates,SI-4,Information System Monitoring,T1222.002,Linux and Mac File and Directory Permissions Modification
2.3.2,Entity Activity Monitoring Pt2,Advanced ZT,mitigates,SI-4,Information System Monitoring,T1484,Domain Policy Modification
2.3.2,Entity Activity Monitoring Pt2,Advanced ZT,mitigates,SI-4,Information System Monitoring,T1485,Data Destruction
2.3.2,Entity Activity Monitoring Pt2,Advanced ZT,mitigates,SI-4,Information System Monitoring,T1486,Data Encrypted for Impact
2.3.2,Entity Activity Monitoring Pt2,Advanced ZT,mitigates,SI-4,Information System Monitoring,T1489,Service Stop
2.3.2,Entity Activity Monitoring Pt2,Advanced ZT,mitigates,SI-4,Information System Monitoring,T1490,Inhibit System Recovery
2.3.2,Entity Activity Monitoring Pt2,Advanced ZT,mitigates,SI-4,Information System Monitoring,T1491,Defacement
2.3.2,Entity Activity Monitoring Pt2,Advanced ZT,mitigates,SI-4,Information System Monitoring,T1491.001,Internal Defacement
2.3.2,Entity Activity Monitoring Pt2,Advanced ZT,mitigates,SI-4,Information System Monitoring,T1491.002,External Defacement
2.3.2,Entity Activity Monitoring Pt2,Advanced ZT,mitigates,SI-4,Information System Monitoring,T1499,Endpoint Denial of Service
2.3.2,Entity Activity Monitoring Pt2,Advanced ZT,mitigates,SI-4,Information System Monitoring,T1499.001,OS Exhaustion Flood
2.3.2,Entity Activity Monitoring Pt2,Advanced ZT,mitigates,SI-4,Information System Monitoring,T1499.002,Service Exhaustion Flood
2.3.2,Entity Activity Monitoring Pt2,Advanced ZT,mitigates,SI-4,Information System Monitoring,T1499.003,Application Exhaustion Flood
2.3.2,Entity Activity Monitoring Pt2,Advanced ZT,mitigates,SI-4,Information System Monitoring,T1499.004,Application or System Exploitation
2.3.2,Entity Activity Monitoring Pt2,Advanced ZT,mitigates,SI-4,Information System Monitoring,T1505,Server Software Component
2.3.2,Entity Activity Monitoring Pt2,Advanced ZT,mitigates,SI-4,Information System Monitoring,T1505.001,SQL Stored Procedures
2.3.2,Entity Activity Monitoring Pt2,Advanced ZT,mitigates,SI-4,Information System Monitoring,T1505.002,Transport Agent
2.3.2,Entity Activity Monitoring Pt2,Advanced ZT,mitigates,SI-4,Information System Monitoring,T1505.003,Web Shell
2.3.2,Entity Activity Monitoring Pt2,Advanced ZT,mitigates,SI-4,Information System Monitoring,T1505.004,IIS Components
2.3.2,Entity Activity Monitoring Pt2,Advanced ZT,mitigates,SI-4,Information System Monitoring,T1505.005,Terminal Services DLL
2.3.2,Entity Activity Monitoring Pt2,Advanced ZT,mitigates,SI-4,Information System Monitoring,T1525,Implant Internal Image
2.3.2,Entity Activity Monitoring Pt2,Advanced ZT,mitigates,SI-4,Information System Monitoring,T1528,Steal Application Access Token
2.3.2,Entity Activity Monitoring Pt2,Advanced ZT,mitigates,SI-4,Information System Monitoring,T1530,Data from Cloud Storage Object
2.3.2,Entity Activity Monitoring Pt2,Advanced ZT,mitigates,SI-4,Information System Monitoring,T1537,Transfer Data to Cloud Account
2.3.2,Entity Activity Monitoring Pt2,Advanced ZT,mitigates,SI-4,Information System Monitoring,T1539,Steal Web Session Cookie
2.3.2,Entity Activity Monitoring Pt2,Advanced ZT,mitigates,SI-4,Information System Monitoring,T1542.004,ROMMONkit
2.3.2,Entity Activity Monitoring Pt2,Advanced ZT,mitigates,SI-4,Information System Monitoring,T1542.005,TFTP Boot
2.3.2,Entity Activity Monitoring Pt2,Advanced ZT,mitigates,SI-4,Information System Monitoring,T1543,Create or Modify System Process
2.3.2,Entity Activity Monitoring Pt2,Advanced ZT,mitigates,SI-4,Information System Monitoring,T1543.002,Systemd Service
2.3.2,Entity Activity Monitoring Pt2,Advanced ZT,mitigates,SI-4,Information System Monitoring,T1543.003,Windows Service
2.3.2,Entity Activity Monitoring Pt2,Advanced ZT,mitigates,SI-4,Information System Monitoring,T1543.004,Launch Daemon
2.3.2,Entity Activity Monitoring Pt2,Advanced ZT,mitigates,SI-4,Information System Monitoring,T1546.002,Screensaver
2.3.2,Entity Activity Monitoring Pt2,Advanced ZT,mitigates,SI-4,Information System Monitoring,T1546.003,Windows Management Instrumentation Event Subscription
2.3.2,Entity Activity Monitoring Pt2,Advanced ZT,mitigates,SI-4,Information System Monitoring,T1546.004,Unix Shell Configuration Modification
2.3.2,Entity Activity Monitoring Pt2,Advanced ZT,mitigates,SI-4,Information System Monitoring,T1546.006,LC_LOAD_DYLIB Addition
2.3.2,Entity Activity Monitoring Pt2,Advanced ZT,mitigates,SI-4,Information System Monitoring,T1546.008,Accessibility Features
2.3.2,Entity Activity Monitoring Pt2,Advanced ZT,mitigates,SI-4,Information System Monitoring,T1546.013,PowerShell Profile
2.3.2,Entity Activity Monitoring Pt2,Advanced ZT,mitigates,SI-4,Information System Monitoring,T1546.014,Emond
2.3.2,Entity Activity Monitoring Pt2,Advanced ZT,mitigates,SI-4,Information System Monitoring,T1546.016,Installer Packages
2.3.2,Entity Activity Monitoring Pt2,Advanced ZT,mitigates,SI-4,Information System Monitoring,T1547.002,Authentication Package
2.3.2,Entity Activity Monitoring Pt2,Advanced ZT,mitigates,SI-4,Information System Monitoring,T1547.003,Time Providers
2.3.2,Entity Activity Monitoring Pt2,Advanced ZT,mitigates,SI-4,Information System Monitoring,T1547.004,Winlogon Helper DLL
2.3.2,Entity Activity Monitoring Pt2,Advanced ZT,mitigates,SI-4,Information System Monitoring,T1547.005,Security Support Provider
2.3.2,Entity Activity Monitoring Pt2,Advanced ZT,mitigates,SI-4,Information System Monitoring,T1547.006,Kernel Modules and Extensions
2.3.2,Entity Activity Monitoring Pt2,Advanced ZT,mitigates,SI-4,Information System Monitoring,T1547.007,Re-opened Applications
2.3.2,Entity Activity Monitoring Pt2,Advanced ZT,mitigates,SI-4,Information System Monitoring,T1547.008,LSASS Driver
2.3.2,Entity Activity Monitoring Pt2,Advanced ZT,mitigates,SI-4,Information System Monitoring,T1547.009,Shortcut Modification
2.3.2,Entity Activity Monitoring Pt2,Advanced ZT,mitigates,SI-4,Information System Monitoring,T1547.012,Print Processors
2.3.2,Entity Activity Monitoring Pt2,Advanced ZT,mitigates,SI-4,Information System Monitoring,T1547.013,XDG Autostart Entries
2.3.2,Entity Activity Monitoring Pt2,Advanced ZT,mitigates,SI-4,Information System Monitoring,T1548,Abuse Elevation Control Mechanism
2.3.2,Entity Activity Monitoring Pt2,Advanced ZT,mitigates,SI-4,Information System Monitoring,T1548.001,Setuid and Setgid
2.3.2,Entity Activity Monitoring Pt2,Advanced ZT,mitigates,SI-4,Information System Monitoring,T1548.002,Bypass User Account Control
2.3.2,Entity Activity Monitoring Pt2,Advanced ZT,mitigates,SI-4,Information System Monitoring,T1548.003,Sudo and Sudo Caching
2.3.2,Entity Activity Monitoring Pt2,Advanced ZT,mitigates,SI-4,Information System Monitoring,T1548.004,Elevated Execution with Prompt
2.3.2,Entity Activity Monitoring Pt2,Advanced ZT,mitigates,SI-4,Information System Monitoring,T1550.001,Application Access Token
2.3.2,Entity Activity Monitoring Pt2,Advanced ZT,mitigates,SI-4,Information System Monitoring,T1550.003,Pass the Ticket
2.3.2,Entity Activity Monitoring Pt2,Advanced ZT,mitigates,SI-4,Information System Monitoring,T1552,Unsecured Credentials
2.3.2,Entity Activity Monitoring Pt2,Advanced ZT,mitigates,SI-4,Information System Monitoring,T1552.001,Credentials In Files
2.3.2,Entity Activity Monitoring Pt2,Advanced ZT,mitigates,SI-4,Information System Monitoring,T1552.002,Credentials in Registry
2.3.2,Entity Activity Monitoring Pt2,Advanced ZT,mitigates,SI-4,Information System Monitoring,T1552.003,Bash History
2.3.2,Entity Activity Monitoring Pt2,Advanced ZT,mitigates,SI-4,Information System Monitoring,T1552.004,Private Keys
2.3.2,Entity Activity Monitoring Pt2,Advanced ZT,mitigates,SI-4,Information System Monitoring,T1552.005,Cloud Instance Metadata API
2.3.2,Entity Activity Monitoring Pt2,Advanced ZT,mitigates,SI-4,Information System Monitoring,T1552.006,Group Policy Preferences
2.3.2,Entity Activity Monitoring Pt2,Advanced ZT,mitigates,SI-4,Information System Monitoring,T1553,Subvert Trust Controls
2.3.2,Entity Activity Monitoring Pt2,Advanced ZT,mitigates,SI-4,Information System Monitoring,T1553.001,Gatekeeper Bypass
2.3.2,Entity Activity Monitoring Pt2,Advanced ZT,mitigates,SI-4,Information System Monitoring,T1553.003,SIP and Trust Provider Hijacking
2.3.2,Entity Activity Monitoring Pt2,Advanced ZT,mitigates,SI-4,Information System Monitoring,T1553.004,Install Root Certificate
2.3.2,Entity Activity Monitoring Pt2,Advanced ZT,mitigates,SI-4,Information System Monitoring,T1553.005,Mark-of-the-Web Bypass
2.3.2,Entity Activity Monitoring Pt2,Advanced ZT,mitigates,SI-4,Information System Monitoring,T1555,Credentials from Password Stores
2.3.2,Entity Activity Monitoring Pt2,Advanced ZT,mitigates,SI-4,Information System Monitoring,T1555.001,Keychain
2.3.2,Entity Activity Monitoring Pt2,Advanced ZT,mitigates,SI-4,Information System Monitoring,T1555.002,Securityd Memory
2.3.2,Entity Activity Monitoring Pt2,Advanced ZT,mitigates,SI-4,Information System Monitoring,T1555.004,Windows Credential Manager
2.3.2,Entity Activity Monitoring Pt2,Advanced ZT,mitigates,SI-4,Information System Monitoring,T1555.005,Password Managers
2.3.2,Entity Activity Monitoring Pt2,Advanced ZT,mitigates,SI-4,Information System Monitoring,T1556,Modify Authentication Process
2.3.2,Entity Activity Monitoring Pt2,Advanced ZT,mitigates,SI-4,Information System Monitoring,T1556.001,Domain Controller Authentication
2.3.2,Entity Activity Monitoring Pt2,Advanced ZT,mitigates,SI-4,Information System Monitoring,T1556.002,Password Filter DLL
2.3.2,Entity Activity Monitoring Pt2,Advanced ZT,mitigates,SI-4,Information System Monitoring,T1556.003,Pluggable Authentication Modules
2.3.2,Entity Activity Monitoring Pt2,Advanced ZT,mitigates,SI-4,Information System Monitoring,T1556.004,Network Device Authentication
2.3.2,Entity Activity Monitoring Pt2,Advanced ZT,mitigates,SI-4,Information System Monitoring,T1557,Adversary-in-the-Middle
2.3.2,Entity Activity Monitoring Pt2,Advanced ZT,mitigates,SI-4,Information System Monitoring,T1557.001,LLMNR/NBT-NS Poisoning and SMB Relay
2.3.2,Entity Activity Monitoring Pt2,Advanced ZT,mitigates,SI-4,Information System Monitoring,T1557.002,ARP Cache Poisoning
2.3.2,Entity Activity Monitoring Pt2,Advanced ZT,mitigates,SI-4,Information System Monitoring,T1558,Steal or Forge Kerberos Tickets
2.3.2,Entity Activity Monitoring Pt2,Advanced ZT,mitigates,SI-4,Information System Monitoring,T1558.002,Silver Ticket
2.3.2,Entity Activity Monitoring Pt2,Advanced ZT,mitigates,SI-4,Information System Monitoring,T1558.003,Kerberoasting
2.3.2,Entity Activity Monitoring Pt2,Advanced ZT,mitigates,SI-4,Information System Monitoring,T1558.004,AS-REP Roasting
2.3.2,Entity Activity Monitoring Pt2,Advanced ZT,mitigates,SI-4,Information System Monitoring,T1559,Inter-Process Communication
2.3.2,Entity Activity Monitoring Pt2,Advanced ZT,mitigates,SI-4,Information System Monitoring,T1559.001,Component Object Model
2.3.2,Entity Activity Monitoring Pt2,Advanced ZT,mitigates,SI-4,Information System Monitoring,T1559.002,Dynamic Data Exchange
2.3.2,Entity Activity Monitoring Pt2,Advanced ZT,mitigates,SI-4,Information System Monitoring,T1559.003,XPC Services
2.3.2,Entity Activity Monitoring Pt2,Advanced ZT,mitigates,SI-4,Information System Monitoring,T1560,Archive Collected Data
2.3.2,Entity Activity Monitoring Pt2,Advanced ZT,mitigates,SI-4,Information System Monitoring,T1560.001,Archive via Utility
2.3.2,Entity Activity Monitoring Pt2,Advanced ZT,mitigates,SI-4,Information System Monitoring,T1561,Disk Wipe
2.3.2,Entity Activity Monitoring Pt2,Advanced ZT,mitigates,SI-4,Information System Monitoring,T1561.001,Disk Content Wipe
2.3.2,Entity Activity Monitoring Pt2,Advanced ZT,mitigates,SI-4,Information System Monitoring,T1561.002,Disk Structure Wipe
2.3.2,Entity Activity Monitoring Pt2,Advanced ZT,mitigates,SI-4,Information System Monitoring,T1562,Impair Defenses
2.3.2,Entity Activity Monitoring Pt2,Advanced ZT,mitigates,SI-4,Information System Monitoring,T1562.001,Disable or Modify Tools
2.3.2,Entity Activity Monitoring Pt2,Advanced ZT,mitigates,SI-4,Information System Monitoring,T1562.002,Disable Windows Event Logging
2.3.2,Entity Activity Monitoring Pt2,Advanced ZT,mitigates,SI-4,Information System Monitoring,T1562.003,Impair Command History Logging
2.3.2,Entity Activity Monitoring Pt2,Advanced ZT,mitigates,SI-4,Information System Monitoring,T1562.004,Disable or Modify System Firewall
2.3.2,Entity Activity Monitoring Pt2,Advanced ZT,mitigates,SI-4,Information System Monitoring,T1562.006,Indicator Blocking
2.3.2,Entity Activity Monitoring Pt2,Advanced ZT,mitigates,SI-4,Information System Monitoring,T1562.010,Downgrade Attack
2.3.2,Entity Activity Monitoring Pt2,Advanced ZT,mitigates,SI-4,Information System Monitoring,T1563,Remote Service Session Hijacking
2.3.2,Entity Activity Monitoring Pt2,Advanced ZT,mitigates,SI-4,Information System Monitoring,T1563.001,SSH Hijacking
2.3.2,Entity Activity Monitoring Pt2,Advanced ZT,mitigates,SI-4,Information System Monitoring,T1563.002,RDP Hijacking
2.3.2,Entity Activity Monitoring Pt2,Advanced ZT,mitigates,SI-4,Information System Monitoring,T1564.002,Hidden Users
2.3.2,Entity Activity Monitoring Pt2,Advanced ZT,mitigates,SI-4,Information System Monitoring,T1564.004,NTFS File Attributes
2.3.2,Entity Activity Monitoring Pt2,Advanced ZT,mitigates,SI-4,Information System Monitoring,T1564.006,Run Virtual Instance
2.3.2,Entity Activity Monitoring Pt2,Advanced ZT,mitigates,SI-4,Information System Monitoring,T1564.007,VBA Stomping
2.3.2,Entity Activity Monitoring Pt2,Advanced ZT,mitigates,SI-4,Information System Monitoring,T1564.008,Email Hiding Rules
2.3.2,Entity Activity Monitoring Pt2,Advanced ZT,mitigates,SI-4,Information System Monitoring,T1564.009,Resource Forking
2.3.2,Entity Activity Monitoring Pt2,Advanced ZT,mitigates,SI-4,Information System Monitoring,T1564.010,Process Argument Spoofing
2.3.2,Entity Activity Monitoring Pt2,Advanced ZT,mitigates,SI-4,Information System Monitoring,T1565,Data Manipulation
2.3.2,Entity Activity Monitoring Pt2,Advanced ZT,mitigates,SI-4,Information System Monitoring,T1565.001,Stored Data Manipulation
2.3.2,Entity Activity Monitoring Pt2,Advanced ZT,mitigates,SI-4,Information System Monitoring,T1565.002,Transmitted Data Manipulation
2.3.2,Entity Activity Monitoring Pt2,Advanced ZT,mitigates,SI-4,Information System Monitoring,T1565.003,Runtime Data Manipulation
2.3.2,Entity Activity Monitoring Pt2,Advanced ZT,mitigates,SI-4,Information System Monitoring,T1566,Phishing
2.3.2,Entity Activity Monitoring Pt2,Advanced ZT,mitigates,SI-4,Information System Monitoring,T1566.001,Spearphishing Attachment
2.3.2,Entity Activity Monitoring Pt2,Advanced ZT,mitigates,SI-4,Information System Monitoring,T1566.002,Spearphishing Link
2.3.2,Entity Activity Monitoring Pt2,Advanced ZT,mitigates,SI-4,Information System Monitoring,T1566.003,Spearphishing via Service
2.3.2,Entity Activity Monitoring Pt2,Advanced ZT,mitigates,SI-4,Information System Monitoring,T1567,Exfiltration Over Web Service
2.3.2,Entity Activity Monitoring Pt2,Advanced ZT,mitigates,SI-4,Information System Monitoring,T1568,Dynamic Resolution
2.3.2,Entity Activity Monitoring Pt2,Advanced ZT,mitigates,SI-4,Information System Monitoring,T1568.002,Domain Generation Algorithms
2.3.2,Entity Activity Monitoring Pt2,Advanced ZT,mitigates,SI-4,Information System Monitoring,T1569,System Services
2.3.2,Entity Activity Monitoring Pt2,Advanced ZT,mitigates,SI-4,Information System Monitoring,T1569.002,Service Execution
2.3.2,Entity Activity Monitoring Pt2,Advanced ZT,mitigates,SI-4,Information System Monitoring,T1570,Lateral Tool Transfer
2.3.2,Entity Activity Monitoring Pt2,Advanced ZT,mitigates,SI-4,Information System Monitoring,T1571,Non-Standard Port
2.3.2,Entity Activity Monitoring Pt2,Advanced ZT,mitigates,SI-4,Information System Monitoring,T1572,Protocol Tunneling
2.3.2,Entity Activity Monitoring Pt2,Advanced ZT,mitigates,SI-4,Information System Monitoring,T1573,Encrypted Channel
2.3.2,Entity Activity Monitoring Pt2,Advanced ZT,mitigates,SI-4,Information System Monitoring,T1573.001,Symmetric Cryptography
2.3.2,Entity Activity Monitoring Pt2,Advanced ZT,mitigates,SI-4,Information System Monitoring,T1573.002,Asymmetric Cryptography
2.3.2,Entity Activity Monitoring Pt2,Advanced ZT,mitigates,SI-4,Information System Monitoring,T1574,Hijack Execution Flow
2.3.2,Entity Activity Monitoring Pt2,Advanced ZT,mitigates,SI-4,Information System Monitoring,T1574.001,DLL Search Order Hijacking
2.3.2,Entity Activity Monitoring Pt2,Advanced ZT,mitigates,SI-4,Information System Monitoring,T1574.004,Dylib Hijacking
2.3.2,Entity Activity Monitoring Pt2,Advanced ZT,mitigates,SI-4,Information System Monitoring,T1574.005,Executable Installer File Permissions Weakness
2.3.2,Entity Activity Monitoring Pt2,Advanced ZT,mitigates,SI-4,Information System Monitoring,T1574.007,Path Interception by PATH Environment Variable
2.3.2,Entity Activity Monitoring Pt2,Advanced ZT,mitigates,SI-4,Information System Monitoring,T1574.008,Path Interception by Search Order Hijacking
2.3.2,Entity Activity Monitoring Pt2,Advanced ZT,mitigates,SI-4,Information System Monitoring,T1574.009,Path Interception by Unquoted Path
2.3.2,Entity Activity Monitoring Pt2,Advanced ZT,mitigates,SI-4,Information System Monitoring,T1574.010,Services File Permissions Weakness
2.3.2,Entity Activity Monitoring Pt2,Advanced ZT,mitigates,SI-4,Information System Monitoring,T1574.013,KernelCallbackTable
2.3.2,Entity Activity Monitoring Pt2,Advanced ZT,mitigates,SI-4,Information System Monitoring,T1578,Modify Cloud Compute Infrastructure
2.3.2,Entity Activity Monitoring Pt2,Advanced ZT,mitigates,SI-4,Information System Monitoring,T1578.001,Create Snapshot
2.3.2,Entity Activity Monitoring Pt2,Advanced ZT,mitigates,SI-4,Information System Monitoring,T1578.002,Create Cloud Instance
2.3.2,Entity Activity Monitoring Pt2,Advanced ZT,mitigates,SI-4,Information System Monitoring,T1578.003,Delete Cloud Instance
2.3.2,Entity Activity Monitoring Pt2,Advanced ZT,mitigates,SI-4,Information System Monitoring,T1598,Phishing for Information
2.3.2,Entity Activity Monitoring Pt2,Advanced ZT,mitigates,SI-4,Information System Monitoring,T1598.001,Spearphishing Service
2.3.2,Entity Activity Monitoring Pt2,Advanced ZT,mitigates,SI-4,Information System Monitoring,T1598.002,Spearphishing Attachment
2.3.2,Entity Activity Monitoring Pt2,Advanced ZT,mitigates,SI-4,Information System Monitoring,T1598.003,Spearphishing Link
2.3.2,Entity Activity Monitoring Pt2,Advanced ZT,mitigates,SI-4,Information System Monitoring,T1599,Network Boundary Bridging
2.3.2,Entity Activity Monitoring Pt2,Advanced ZT,mitigates,SI-4,Information System Monitoring,T1599.001,Network Address Translation Traversal
2.3.2,Entity Activity Monitoring Pt2,Advanced ZT,mitigates,SI-4,Information System Monitoring,T1601,Modify System Image
2.3.2,Entity Activity Monitoring Pt2,Advanced ZT,mitigates,SI-4,Information System Monitoring,T1601.001,Patch System Image
2.3.2,Entity Activity Monitoring Pt2,Advanced ZT,mitigates,SI-4,Information System Monitoring,T1601.002,Downgrade System Image
2.3.2,Entity Activity Monitoring Pt2,Advanced ZT,mitigates,SI-4,Information System Monitoring,T1602,Data from Configuration Repository
2.3.2,Entity Activity Monitoring Pt2,Advanced ZT,mitigates,SI-4,Information System Monitoring,T1602.001,SNMP (MIB Dump)
2.3.2,Entity Activity Monitoring Pt2,Advanced ZT,mitigates,SI-4,Information System Monitoring,T1602.002,Network Device Configuration Dump
2.3.2,Entity Activity Monitoring Pt2,Advanced ZT,mitigates,SI-4,Information System Monitoring,T1610,Deploy Container
2.3.2,Entity Activity Monitoring Pt2,Advanced ZT,mitigates,SI-4,Information System Monitoring,T1611,Escape to Host
2.3.2,Entity Activity Monitoring Pt2,Advanced ZT,mitigates,SI-4,Information System Monitoring,T1612,Build Image on Host
2.3.2,Entity Activity Monitoring Pt2,Advanced ZT,mitigates,SI-4,Information System Monitoring,T1613,Container and Resource Discovery
2.3.2,Entity Activity Monitoring Pt2,Advanced ZT,mitigates,SI-4,Information System Monitoring,T1647,Plist File Modification
5.2.4,Network Asset Discovery & Optimization,Advanced ZT,mitigates,SI-4,Information System Monitoring,T1001,Data Obfuscation
5.2.4,Network Asset Discovery & Optimization,Advanced ZT,mitigates,SI-4,Information System Monitoring,T1001.001,Junk Data
5.2.4,Network Asset Discovery & Optimization,Advanced ZT,mitigates,SI-4,Information System Monitoring,T1001.002,Steganography
5.2.4,Network Asset Discovery & Optimization,Advanced ZT,mitigates,SI-4,Information System Monitoring,T1001.003,Protocol Impersonation
5.2.4,Network Asset Discovery & Optimization,Advanced ZT,mitigates,SI-4,Information System Monitoring,T1003,OS Credential Dumping
5.2.4,Network Asset Discovery & Optimization,Advanced ZT,mitigates,SI-4,Information System Monitoring,T1003.001,LSASS Memory
5.2.4,Network Asset Discovery & Optimization,Advanced ZT,mitigates,SI-4,Information System Monitoring,T1003.002,Security Account Manager
5.2.4,Network Asset Discovery & Optimization,Advanced ZT,mitigates,SI-4,Information System Monitoring,T1003.003,NTDS
5.2.4,Network Asset Discovery & Optimization,Advanced ZT,mitigates,SI-4,Information System Monitoring,T1003.004,LSA Secrets
5.2.4,Network Asset Discovery & Optimization,Advanced ZT,mitigates,SI-4,Information System Monitoring,T1003.005,Cached Domain Credentials
5.2.4,Network Asset Discovery & Optimization,Advanced ZT,mitigates,SI-4,Information System Monitoring,T1003.006,DCSync
5.2.4,Network Asset Discovery & Optimization,Advanced ZT,mitigates,SI-4,Information System Monitoring,T1003.007,Proc Filesystem
5.2.4,Network Asset Discovery & Optimization,Advanced ZT,mitigates,SI-4,Information System Monitoring,T1003.008,/etc/passwd and /etc/shadow
5.2.4,Network Asset Discovery & Optimization,Advanced ZT,mitigates,SI-4,Information System Monitoring,T1005,Data from Local System
5.2.4,Network Asset Discovery & Optimization,Advanced ZT,mitigates,SI-4,Information System Monitoring,T1008,Fallback Channels
5.2.4,Network Asset Discovery & Optimization,Advanced ZT,mitigates,SI-4,Information System Monitoring,T1011,Exfiltration Over Other Network Medium
